"시점","국적별(1)",국적별(2),관광
"2021.07","대양주",소계,49
"2021.07","아프리카",소계,32
"2021.07","기타",소계,2
"2021.08","아시아주",소계,9965
"2021.08","미주",소계,6147
"2021.08","구주",소계,2185
"2021.08","대양주",소계,69
"2021.08","아프리카",소계,83
"2021.08","기타",소계,3
"2021.09","아시아주",소계,8303
"2021.09","미주",소계,8176
"2021.09","구주",소계,3024
"2021.09","대양주",소계,55
"2021.09","아프리카",소계,48
"2021.09","기타",소계,5
"2021.10","아시아주",소계,10367
"2021.10","미주",소계,9798
"2021.10","구주",소계,5341
"2021.10","대양주",소계,96
"2021.10","아프리카",소계,90
"2021.10","기타",소계,6
"2021.11","아시아주",소계,12968
"2021.11","미주",소계,9586
"2021.11","구주",소계,5733
"2021.11","대양주",소계,298
"2021.11","아프리카",소계,149
"2021.11","기타",소계,0
"2021.12","아시아주",소계,15790
"2021.12","미주",소계,6267
"2021.12","구주",소계,3126
"2021.12","대양주",소계,375
"2021.12","아프리카",소계,68
"2021.12","기타",소계,4
